1000,36,,1000,25,,Hirschberg,,,DynamicProgramming,,,DynamicProgramming,,,DynamicProgramming,
2000,99,,2000,49,,Input size,Time (ms),,Input size,Time (ms),,Input size,Time (ms),,Input size,Time (ms)
3000,200,,3000,105,,10,1,,10,0,,10,0,,10,0
4000,357,,4000,180,,20,0,,20,0,,20,0,,20,0
5000,571,,5000,287,,30,1,,30,0,,30,0,,30,0
6000,727,,6000,405,,40,1,,40,0,,40,0,,40,0
7000,1141,,7000,553,,50,0,,50,0,,50,0,,50,0
8000,1403,,8000,726,,60,1,,60,1,,60,0,,60,0
9000,1793,,9000,915,,70,1,,70,0,,70,0,,70,0
10000,2386,,10000,1125,,80,1,,80,0,,80,0,,80,0
11000,3336,,11000,1359,,90,1,,90,0,,90,0,,90,0
12000,4233,,12000,1635,,100,3,,100,0,,100,0,,100,0
13000,4748,,13000,1898,,110,1,,110,0,,110,0,,110,0
14000,6109,,14000,2198,,120,0,,120,0,,120,0,,120,0
15000,10225,,15000,2542,,130,0,,130,0,,130,0,,130,0
,,,16000,2907,,140,0,,140,0,,140,0,,140,0
,,,17000,3387,,150,0,,150,0,,150,0,,150,0
,,,18000,3641,,160,1,,160,0,,160,0,,160,0
,,,19000,4052,,170,0,,170,0,,170,0,,170,3
,,,20000,4503,,180,0,,180,1,,180,0,,180,1
,,,,,,190,0,,190,1,,190,0,,190,0
,,,,,,200,0,,200,0,,200,0,,200,0
,,,,,,210,0,,210,1,,210,1,,210,0
,,,,,,220,0,,220,1,,220,1,,220,1
,,,,,,230,0,,230,1,,230,1,,230,1
,,,,,,240,0,,240,1,,240,1,,240,0
,,,,,,250,1,,250,2,,250,1,,250,2
,,,,,,260,1,,260,1,,260,1,,260,1
,,,,,,270,1,,270,1,,270,1,,270,3
,,,,,,280,1,,280,2,,280,1,,280,1
,,,,,,290,1,,290,2,,290,1,,290,1
,,,,,,300,1,,300,2,,300,1,,300,1
,,,,,,310,1,,310,2,,310,1,,310,1
,,,,,,320,1,,320,2,,320,1,,320,1
,,,,,,330,1,,330,2,,330,1,,330,1
,,,,,,340,1,,340,2,,340,2,,340,1
,,,,,,350,1,,350,2,,350,2,,350,2
,,,,,,360,1,,360,2,,360,2,,360,2
,,,,,,370,2,,370,3,,370,2,,370,2
,,,,,,380,2,,380,3,,380,2,,380,2
,,,,,,390,2,,390,3,,390,2,,390,2
,,,,,,400,2,,400,3,,400,2,,400,2
,,,,,,410,2,,410,3,,410,2,,410,2
,,,,,,420,2,,420,3,,420,2,,420,2
,,,,,,430,2,,430,3,,430,2,,430,2
,,,,,,440,4,,440,9,,440,3,,440,3
,,,,,,450,14,,450,5,,450,3,,450,3
,,,,,,460,6,,460,8,,460,3,,460,3
,,,,,,470,4,,470,4,,470,3,,470,3
,,,,,,480,3,,480,4,,480,4,,480,3
,,,,,,490,3,,490,3,,490,3,,490,3
,,,,,,500,3,,500,4,,500,3,,500,3
,,,,,,510,3,,510,4,,510,4,,510,4
,,,,,,520,3,,520,4,,520,4,,520,4
,,,,,,530,3,,530,6,,530,4,,530,5
,,,,,,540,4,,540,5,,540,6,,540,4
,,,,,,550,4,,550,5,,550,4,,550,5
,,,,,,560,4,,560,5,,560,5,,560,4
,,,,,,570,4,,570,5,,570,5,,570,5
,,,,,,580,4,,580,7,,580,5,,580,5
,,,,,,590,4,,590,5,,590,5,,590,6
,,,,,,600,5,,600,6,,600,6,,600,5
,,,,,,610,5,,610,6,,610,5,,610,5
,,,,,,620,5,,620,6,,620,5,,620,6
,,,,,,630,5,,630,7,,630,6,,630,6
,,,,,,640,5,,640,6,,640,7,,640,7
,,,,,,650,5,,650,8,,650,7,,650,7
,,,,,,660,6,,660,10,,660,7,,660,7
,,,,,,670,6,,670,10,,670,7,,670,7
,,,,,,680,6,,680,10,,680,8,,680,7
,,,,,,690,6,,690,9,,690,7,,690,7
,,,,,,700,6,,700,8,,700,8,,700,7
,,,,,,710,7,,710,9,,710,8,,710,8
,,,,,,720,6,,720,9,,720,8,,720,8
,,,,,,730,7,,730,11,,730,8,,730,8
,,,,,,740,6,,740,11,,740,8,,740,8
,,,,,,750,7,,750,10,,750,8,,750,9
,,,,,,760,7,,760,11,,760,9,,760,9
,,,,,,770,7,,770,10,,770,9,,770,9
,,,,,,780,7,,780,10,,780,10,,780,9
,,,,,,790,8,,790,12,,790,10,,790,10
,,,,,,800,7,,800,14,,800,10,,800,11
,,,,,,810,8,,810,14,,810,10,,810,11
,,,,,,820,8,,820,15,,820,11,,820,10
,,,,,,830,8,,830,15,,830,11,,830,11
,,,,,,840,8,,840,15,,840,11,,840,11
,,,,,,850,9,,850,12,,850,11,,850,11
,,,,,,860,10,,860,12,,860,12,,860,11
,,,,,,870,11,,870,13,,870,12,,870,12
,,,,,,880,9,,880,16,,880,12,,880,12
,,,,,,890,9,,890,13,,890,12,,890,12
,,,,,,900,10,,900,14,,900,13,,900,13
,,,,,,910,10,,910,13,,910,13,,910,13
,,,,,,920,10,,920,17,,920,13,,920,13
,,,,,,930,11,,930,15,,930,16,,930,13
,,,,,,940,11,,940,14,,940,15,,940,14
,,,,,,950,11,,950,15,,950,14,,950,14
,,,,,,960,11,,960,15,,960,15,,960,16
,,,,,,970,12,,970,15,,970,15,,970,15
,,,,,,980,12,,980,15,,980,15,,980,15
,,,,,,990,12,,990,17,,990,16,,990,16
,,,,,,1000,13,,1000,19,,1000,16,,1000,15
,,,,,,1010,12,,1010,22,,1010,16,,1010,17
,,,,,,1020,12,,1020,21,,1020,16,,1020,16
,,,,,,1030,14,,1030,22,,1030,17,,1030,17
,,,,,,1040,13,,1040,23,,1040,17,,1040,18
,,,,,,1050,12,,1050,23,,1050,18,,1050,17
,,,,,,1060,13,,1060,24,,1060,18,,1060,18
,,,,,,1070,14,,1070,19,,1070,19,,1070,18
,,,,,,1080,13,,1080,20,,1080,19,,1080,19
,,,,,,1090,13,,1090,20,,1090,19,,1090,20
,,,,,,1100,15,,1100,20,,1100,19,,1100,19
,,,,,,1110,15,,1110,22,,1110,20,,1110,20
,,,,,,1120,14,,1120,22,,1120,20,,1120,20
,,,,,,1130,15,,1130,21,,1130,21,,1130,21
,,,,,,1140,15,,1140,21,,1140,21,,1140,22
,,,,,,1150,15,,1150,22,,1150,22,,1150,21
,,,,,,1160,15,,1160,23,,1160,22,,1160,22
,,,,,,1170,16,,1170,25,,1170,22,,1170,24
,,,,,,1180,16,,1180,23,,1180,22,,1180,23
,,,,,,1190,17,,1190,24,,1190,23,,1190,23
,,,,,,1200,16,,1200,24,,1200,25,,1200,23
,,,,,,1210,17,,1210,24,,1210,24,,1210,24
,,,,,,1220,17,,1220,25,,1220,24,,1220,25
,,,,,,1230,17,,1230,25,,1230,24,,1230,24
,,,,,,1240,19,,1240,26,,1240,25,,1240,25
,,,,,,1250,19,,1250,26,,1250,25,,1250,26
,,,,,,1260,20,,1260,29,,1260,26,,1260,25
